Input File,Display Name,File Name,,,,,,
B SEM,0.019874,0.014036,0.022793,0.019051,0.009591,0.012146,0.013517,0.009477
B Replicates,0.240708,0.190966,0.179463,0.096696,0.247616,0.221472,0.103865,0.196649
,0.308361,0.209699,0.299201,0.206457,0.181353,0.202195,0.179944,0.277993
,0.147313,0.246074,0.255443,0.24516,0.240339,0.309173,0.164334,0.255211
,0.205195,0.242771,0.214357,0.269872,0.177289,0.187999,0.167049,0.322939
,0.190726,0.242471,0.189368,0.208527,0.220525,0.17557,0.221101,0.224376
,0.128205,0.284467,0.056483,0.249145,0.180095,0.163418,0.183264,0.233065
,0.151247,0.251657,0.21209,0.132355,0.18163,0.164728,0.266955,0.229083
,0.205416,0.302495,0.286061,0.28219,0.187004,0.18793,0.096424,0.223466
,0.208692,0.322643,0.180569,0.271959,0.256264,0.216523,0.178304,0.220453
,0.161682,0.210694,0.231659,0.285237,0.226755,0.180177,0.21814,0.223946
,0.327321,0.228614,0.37377,0.134993,0.268726,0.257863,0.182221,0.234705
,0.316554,0.146228,0.274782,0.161161,0.218559,0.202259,0.162466,0.248916
,,,,,,,,
,,,,,,,,
Normalized Duration IQR - Avg,,,,,,,,
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2
B Mean,0.826654,0.887068,0.576389,0.930305,0.703934,0.72742,0.836575,0.745986
B SEM,0.091521,0.153306,0.051679,0.096477,0.06133,0.078219,0.068509,0.188126
B Replicates,0.956005,1.96308,0.825485,0.878194,1.216784,1.200046,0.561186,2.306628
,0.599045,0.973224,0.475034,0.929049,0.856844,0.693745,1.362866,0.344548
,1.169021,0.699763,0.468391,0.510889,0.507649,0.827668,0.814138,0.284962
,0.610013,0.623966,0.482036,0.96852,0.730336,0.647735,0.948575,0.721484
,0.533198,0.784113,0.6787,1.169279,0.523529,0.674803,0.971566,0.458135
,0.46159,0.734104,0.200887,0.840413,0.687918,0.66405,0.702835,0.824011
,0.521765,0.4818,0.772711,1.553643,0.60308,0.493362,0.729962,0.429375
,0.697507,0.553182,0.546597,0.764516,0.560658,0.67544,0.929172,0.91359
,1.253021,0.396383,0.526536,0.616191,0.525168,0.487074,0.558237,0.230719
,1.068719,0.574657,0.567336,0.423769,0.640486,0.519242,0.570567,0.326159
,0.689671,0.885024,0.541667,1.284098,0.633175,0.519906,1.058734,0.345347
,1.360296,1.975526,0.831288,1.225096,0.961584,1.325964,0.831067,1.766872
,,,,,,,,
,,,,,,,,
IBI Coefficient of Variation - Avg,,,,,,,,
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2
B Mean,1.648476,1.369927,1.828127,0.737381,2.607911,2.183332,0.565641,1.491991
B SEM,0.276892,0.162452,0.311151,0.153999,0.322966,0.26106,0.079064,0.352008
B Replicates,0.630408,0.954012,0.635011,0.427886,1.984619,0.612213,0.341057,1.047235
,0.814617,2.190147,2.510059,0.771199,1.496831,1.366279,0.80268,1.120941
,1.34726,1.776231,1.874996,2.068177,2.36012,1.874687,0.390808,0.185966
,1.561377,0.640644,0.955665,0.528851,4.583886,1.731874,0.495062,1.911747
,3.333409,2.099883,4.000738,0.574428,1.742752,2.982161,1.304357,0.466771
,1.381777,1.219451,0.621504,0.503924,3.236778,1.792881,0.596079,2.600291
,2.071041,0.929563,1.751968,0.45631,2.992478,3.283062,0.526381,1.953688
,3.722259,1.135565,0.801743,0.467731,4.686277,3.577633,0.704495,2.93714
,1.368114,1.664109,3.370346,1.61113,2.65712,1.83183,0.419242,0.149725
,0.926977,1.234464,1.784995,0.382705,2.37166,1.444388,0.333878,3.9988
,1.506788,2.012085,1.309508,0.459396,2.061612,3.016639,0.49679,0.309083
,1.11768,0.58297,2.320996,0.596836,1.120797,2.686337,0.376866,1.222507
,,,,,,,,
,,,,,,,,
Burst Percentage - Avg,,,,,,,,
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2
B Mean,84.210029,84.828668,83.569976,92.347388,90.793002,86.248627,90.317206,93.354982
B SEM,3.074974,2.741465,3.432075,1.488238,1.648082,1.826842,3.042047,1.925035
B Replicates,95.028813,80.206632,72.219181,93.345375,93.429316,97.559778,87.383534,95.175882
,93.056536,89.162969,85.292429,80.427853,92.462604,81.651904,98.332905,98.162154
,78.08044,82.108287,97.664279,92.754735,90.814258,93.762414,97.781359,99.055036
,84.411017,96.670129,97.291732,94.932055,94.953918,81.399632,97.887637,95.324195
,96.777098,97.860622,81.094208,93.614023,94.26561,80.304941,93.558081,98.838094
,75.62371,87.394218,65.06217,95.533791,93.34489,77.558308,91.32275,96.787979
,87.399748,78.435298,85.834636,84.412153,82.853688,84.325586,85.902947,81.033306
,59.459314,65.430793,75.589292,97.996324,78.900163,93.365489,60.606158,88.452732
,75.965306,80.425057,83.979278,90.082153,87.102679,82.368157,92.532971,86.904231
,84.82748,75.838418,66.328709,97.496226,95.723218,85.870385,98.078579,98.621663
,93.594221,93.118443,96.366101,93.686843,87.256422,85.1099,84.88373,98.944912
,86.296669,91.293147,96.117702,93.887128,98.409259,91.707034,95.535824,82.959597
,,,,,,,,
,,,,,,,,
Network Burst Frequency (Hz),,,,,,,,
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2
B Mean,0.152709,0.180486,0.152432,0.201907,0.180624,0.156716,0.246131,0.243228
B SEM,0.019409,0.012159,0.021194,0.018669,0.017369,0.018877,0.014029,0.031008
B Replicates,0.157546,0.157546,0.139303,0.286899,0.087894,0.134328,0.225539,0.117745
,0.107794,0.238806,0.154229,0.134328,0.134328,0.117745,0.164179,0.200663
,0.117745,0.179104,0.235489,0.086235,0.179104,0.150912,0.266998,0.288557
,0.169154,0.199005,0.276949,0.147595,0.286899,0.124378,0.220564,0.121061
,0.180763,0.14262,0.129353,0.190713,0.189055,0.328358,0.172471,0.300166
,0.323383,0.127695,0.074627,0.189055,0.252073,0.08126,0.315091,0.154229
,0.195688,0.200663,0.054726,0.230514,0.187396,0.160862,0.238806,0.351575
,0.190713,0.119403,0.126036,0.273632,0.182421,0.232172,0.215589,0.15257
,0.099502,0.159204,0.26534,0.144279,0.165837,0.165837,0.291874,0.40796
,0.074627,0.169154,0.167496,0.278607,0.253731,0.126036,0.303483,0.189055
,0.104478,0.242123,0.07131,0.250415,0.106136,0.145937,0.276949,0.41791
,0.111111,0.230514,0.134328,0.210614,0.14262,0.112769,0.262023,0.217247
,,,,,,,,
,,,,,,,,
Network Burst Duration - Avg (sec),,,,,,,,
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2
B Mean,0.515432,0.611443,0.544803,0.525773,0.484654,0.460367,0.391726,0.514618
B SEM,0.053172,0.036751,0.072069,0.0474,0.0439,0.040758,0.036318,0.040885
B Replicates,0.602695,0.545333,0.423648,0.201063,0.644113,0.411961,0.231738,0.781199
,0.827057,0.437478,0.538135,0.668076,0.617517,0.455798,0.471579,0.637354
,0.363681,0.739261,0.427542,0.62274,0.472078,0.866815,0.327585,0.408402
,0.43806,0.553721,0.46806,0.574301,0.296522,0.403147,0.315668,0.753106
,0.351326,0.627445,0.425701,0.677783,0.435267,0.295568,0.481479,0.419211
,0.282814,0.652025,0.205406,0.638653,0.361435,0.476122,0.400827,0.576752
,0.334775,0.830258,1.095806,0.289431,0.354802,0.349382,0.575089,0.368925
,0.392665,0.775853,0.748176,0.580995,0.390555,0.420601,0.147115,0.460098
,0.558416,0.596493,0.32977,0.624736,0.660647,0.41141,0.393145,0.37359
,0.724073,0.656003,0.44388,0.628446,0.396258,0.431779,0.566121,0.435402
,0.769854,0.469592,0.891857,0.32042,0.780433,0.483129,0.385097,0.461581
,0.539765,0.453851,0.539656,0.482632,0.406222,0.518694,0.405268,0.499795
,,,,,,,,
,,,,,,,,
Network Burst Percentage,,,,,,,,
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2
B Mean,94.065004,94.559355,89.697776,91.146855,96.01274,95.553112,95.130874,98.476778
B SEM,1.261686,1.04662,6.157015,1.695225,0.821777,1.076331,2.051158,0.509729
B Replicates,95.639667,88.282626,92.707938,89.030832,97.34622,96.997669,94.80321,98.568933
,94.518153,96.736157,98.543673,80.889923,88.559614,94.420601,95.28165,99.539219
,88.242836,95.215802,98.676582,89.659419,98.865181,96.001686,97.214881,99.950357
,97.601641,97.487506,98.81456,95.359331,96.878226,95.651881,98.868467,96.847794
,98.757089,98.618928,95.513497,90.531325,96.415499,98.702283,94.998833,99.738389
,95.449721,96.874417,24.762293,94.469618,95.355932,96.345889,99.133028,98.321113
,91.951442,94.693221,77.29249,81.033256,94.261087,85.035099,98.122265,99.33838
,94.579946,90.046581,98.718013,98.891179,98.529274,98.388981,73.060784,95.379057
,88.810771,92.200994,97.964308,89.190157,94.385981,96.194976,98.454431,99.489092
,86.068111,96.969451,98.525495,99.287747,95.293437,97.92162,97.006497,99.581992
,98.712842,98.076216,98.28499,93.428599,97.500846,98.142888,97.926735,99.949348
,98.447823,89.510357,96.569468,91.990872,98.761588,92.833768,96.699708,95.017661
,,,,,,,,
,,,,,,,,
Network IBI Coefficient of Variation,,,,,,,,
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2
B Mean,1.562947,1.26523,1.765446,0.622233,2.604174,2.156736,0.466786,1.421034
B SEM,0.270472,0.159771,0.292752,0.158752,0.33201,0.276401,0.073594,0.351469
B Replicates,0.593436,0.779842,0.568723,0.369491,1.724735,0.528993,0.207234,0.776714
,0.550276,2.115246,2.32741,0.712371,1.423585,1.317394,0.760028,1.06407
,1.323177,1.696561,1.885599,2.04439,2.475231,1.583421,0.32627,0.14115
,1.518708,0.572529,1.029346,0.348165,4.557692,1.714124,0.460606,1.641744
,3.224519,1.783517,3.731371,0.369048,1.763197,3.234766,1.096045,0.384139
,1.526002,1.144518,0.80384,0.372958,3.344484,1.758004,0.284544,2.460942
,2.050922,0.807975,1.510886,0.36281,3.297737,3.540742,0.4838,2.0501
,3.491192,1.024741,0.772718,0.342621,4.586712,3.565131,0.617569,2.822204
,1.261236,1.570822,3.374363,1.440496,2.583456,1.767033,0.307507,0.140858
,0.879802,1.143169,1.814978,0.249134,2.424122,1.61489,0.257891,3.997586
,1.315566,2.009159,1.151953,0.407151,2.064976,2.846916,0.476232,0.29746
,1.020528,0.534676,2.214169,0.448166,1.004163,2.409415,0.323704,1.27544
,,,,,,,,
,,,,,,,,
Network Normalized Duration IQR,,,,,,,,
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2
B Mean,0.721692,1.016774,0.530563,0.734924,0.588382,0.673065,0.540766,0.459058
B SEM,0.136035,0.324339,0.044766,0.16046,0.040819,0.072083,0.055376,0.084049
B Replicates,0.386555,3.531915,0.935065,1.809524,0.528926,1.060241,0.533333,0.666667
,0.593103,1.147541,0.430108,0.687023,0.460177,0.505747,0.314607,0.16
,1.632653,0.666667,0.311688,0.19469,0.53012,0.902256,0.618182,0.17284
,0.582278,0.424242,0.493827,0.895238,0.666667,0.465753,0.690909,0.646617
,0.461538,0.649573,0.550725,0.528926,0.64,0.509804,0.681319,0.240964
,0.490566,0.299213,0.580645,0.325203,0.666667,0.986301,0.591549,0.757895
,0.491803,0.348993,0.497175,1.692308,0.459016,0.508475,0.265487,0.422535
,0.450704,0.413793,0.403361,0.275229,0.38806,0.369231,0.933333,0.735632
,1.670886,0.288288,0.421053,0.347826,0.505495,0.531646,0.477612,0.219178
,0.459259,0.406504,0.571429,0.195122,0.591549,0.658824,0.342857,0.303797
,0.368794,0.84507,0.557823,1.114754,0.717241,0.54321,0.64,0.172043
,1.072165,3.179487,0.613861,0.753247,0.906667,1.035294,0.4,1.010526
,,,,,,,,
,,,,,,,,
Area Under Normalized Cross-Correlation,,,,,,,,
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2
B Mean,0.707311,0.767274,0.706098,0.872034,0.703395,0.721318,0.808222,0.824885
B SEM,0.040826,0.025568,0.03772,0.021129,0.041258,0.025673,0.022831,0.019288
B Replicates,0.930455,0.793803,0.62388,0.863756,0.884732,0.776615,0.866241,0.900544
,0.752926,0.825837,0.762285,0.696138,0.679203,0.742527,0.779862,0.851663
,0.727049,0.641278,0.773772,0.838002,0.594952,0.774894,0.90601,0.866514
,0.766349,0.894939,0.72128,0.957073,0.747795,0.708993,0.872167,0.799389
,0.814577,0.848713,0.671296,0.804945,0.763682,0.589618,0.670426,0.871358
,0.539976,0.720333,0.533573,0.863546,0.534765,0.77241,0.772036,0.887723
,0.557894,0.710731,0.702348,0.875474,0.473623,0.588754,0.722649,0.712808
,0.431494,0.682236,0.619585,0.962009,0.628262,0.688684,0.688466,0.755122
,0.669842,0.697402,0.665032,0.881674,0.595912,0.621234,0.854721,0.725621
,0.672698,0.697136,0.535863,0.86875,0.818378,0.69968,0.863256,0.842308
,0.841732,0.783947,0.902461,0.946664,0.778047,0.836137,0.84434,0.897318
,0.782746,0.910932,0.961797,0.906374,0.941384,0.856273,0.858493,0.788246
,,,,,,,,
,,,,,,,,
Resistance - Avg (kOhms),,,,,,,,
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2
B Mean,40.71501,42.226851,41.657148,41.946195,40.582621,40.865651,39.130784,42.741649
B SEM,0.934602,0.73162,1.026102,0.750375,0.646068,0.726254,0.758997,0.743882
B Replicates,42.33088,38.517148,39.003719,40.851867,39.882833,40.90011,39.370458,39.002631
,44.471144,42.738254,41.419574,41.679403,37.400116,36.533887,40.868408,43.817887
,38.685592,38.708124,43.183221,42.664233,39.403196,44.276598,42.996054,46.2332
,44.860026,42.888948,45.407957,43.427177,40.606207,44.032954,40.924343,42.431186
,45.127875,41.701962,43.844798,41.529563,43.982952,40.229959,39.377587,44.718275
,41.478082,45.176465,35.74887,39.697543,45.395063,40.206385,38.06528,42.898662
,40.430026,41.809132,40.730327,44.515336,39.414165,40.423609,33.253162,41.560457
,35.527437,39.510003,46.822544,43.449577,41.92363,41.515604,37.117899,47.746816
,36.415125,45.592176,40.853078,44.170204,39.642779,43.903696,40.789016,41.454441
,37.343813,43.830103,35.709019,43.870978,40.850693,37.188525,36.946418,42.752743
,40.592278,40.698882,45.133839,42.434599,38.666939,39.034303,41.693047,40.319445
,41.317841,45.551017,42.028828,35.063866,39.822874,42.142183,38.167739,39.964042
,,,,,,,,
,,,,,,,,
Number of Covered Electrodes,,,,,,,,
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2
B Mean,7.833333,7.833333,7.833333,8,7.916667,8,7.583333,7.833333
B SEM,0.166667,0.112367,0.112367,0,0.083333,0,0.228908,0.112367
B Replicates,8,7,8,8,8,8,8,8
,8,8,7,8,8,8,7,8
,8,7,8,8,8,8,8,8
,8,8,8,8,8,8,8,8
,8,8,8,8,8,8,6,8
,8,8,8,8,8,8,8,8
,8,8,8,8,8,8,8,8
,6,8,8,8,7,8,6,8
,8,8,7,8,8,8,8,7
,8,8,8,8,8,8,8,8
,8,8,8,8,8,8,8,8
,8,8,8,8,8,8,8,7
