,Test Types,Gene,T-statistic,Regulation,P-value,Significance,Warnings
21,Number of Bursting Electrodes,SLITRK5,-0.2393389696424821,Down-Regulated,0.8115421487613843,Not Significant,No Warning
22,Number of Bursting Electrodes,THSD7 1,-1.6408253082847348,Down-Regulated,0.10531983257516707,Not Significant,No Warning
23,Number of Bursting Electrodes,THSD7 2,-1.3652491807152987,Down-Regulated,0.1765464232015896,Not Significant,No Warning
24,Burst Frequency - Avg (Hz),GPR37L 1,-3.7172179231952094,Down-Regulated,0.00040218043940426696,Significant diff between gene and control,No Warning
25,Burst Frequency - Avg (Hz),GPR37L 2,-2.8895449201190044,Down-Regulated,0.00513216973982251,Significant diff between gene and control,No Warning
26,Burst Frequency - Avg (Hz),LGI2 A12,-3.9099347324002323,Down-Regulated,0.00021099179287623038,Significant diff between gene and control,No Warning
27,Burst Frequency - Avg (Hz),SLITRK5,-2.115182159724247,Down-Regulated,0.03797530747651329,Significant diff between gene and control,No Warning
28,Burst Frequency - Avg (Hz),THSD7 1,-4.201271893628338,Down-Regulated,7.699961959913425e-05,Significant diff between gene and control,No Warning
29,Burst Frequency - Avg (Hz),THSD7 2,-5.1088239611972455,Down-Regulated,2.685693531729739e-06,Significant diff between gene and control,No Warning
30,Burst Duration - Avg (s),GPR37L 1,-2.0160298764704234,Down-Regulated,0.04763620871623893,Significant diff between gene and control,No Warning
31,Burst Duration - Avg (s),GPR37L 2,-1.319443934315581,Down-Regulated,0.19132019597624464,Not Significant,No Warning
32,Burst Duration - Avg (s),LGI2 A12,-1.0056916822212663,Down-Regulated,0.3180277573832193,Not Significant,No Warning
33,Burst Duration - Avg (s),SLITRK5,-3.6016415619656392,Down-Regulated,0.0005869508080754976,Significant diff between gene and control,No Warning
34,Burst Duration - Avg (s),THSD7 1,-1.619326208251536,Down-Regulated,0.10987413979562899,Not Significant,No Warning
35,Burst Duration - Avg (s),THSD7 2,-2.242797093551216,Down-Regulated,0.028078306521502346,Significant diff between gene and control,No Warning
36,Normalized Duration IQR - Avg,GPR37L 1,1.1826730340227496,Up-Regulated,0.2409402717162883,Not Significant,No Warning
37,Normalized Duration IQR - Avg,GPR37L 2,1.5930447098445815,Up-Regulated,0.1156560671446188,Not Significant,No Warning
38,Normalized Duration IQR - Avg,LGI2 A12,-1.1265973199085584,Down-Regulated,0.2637601400391201,Not Significant,No Warning
39,Normalized Duration IQR - Avg,SLITRK5,3.3279100345979233,Up-Regulated,0.0013973655032697777,Significant diff between gene and control,No Warning
40,Normalized Duration IQR - Avg,THSD7 1,0.4871171252518198,Up-Regulated,0.6276972731059531,Not Significant,No Warning
41,Normalized Duration IQR - Avg,THSD7 2,-0.1025346471813361,Down-Regulated,0.918625481092024,Not Significant,No Warning
42,IBI Coefficient of Variation - Avg,GPR37L 1,2.1120200173910817,Up-Regulated,0.03825492889074306,Significant diff between gene and control,No Warning
43,IBI Coefficient of Variation - Avg,GPR37L 2,-0.1375825164449554,Down-Regulated,0.8909653572593116,Not Significant,No Warning
44,IBI Coefficient of Variation - Avg,LGI2 A12,2.9092951562343967,Up-Regulated,0.004851974887151427,Significant diff between gene and control,No Warning
45,IBI Coefficient of Variation - Avg,SLITRK5,-1.4359818632861832,Down-Regulated,0.15546146769937305,Not Significant,No Warning
46,IBI Coefficient of Variation - Avg,THSD7 1,3.720879395529984,Up-Regulated,0.00039734870383798193,Significant diff between gene and control,No Warning
47,IBI Coefficient of Variation - Avg,THSD7 2,3.624067927822401,Up-Regulated,0.0005457270166010272,Significant diff between gene and control,No Warning
48,Burst Percentage - Avg,GPR37L 1,-3.2797621640757355,Down-Regulated,0.0016208142133229406,Significant diff between gene and control,No Warning
49,Burst Percentage - Avg,GPR37L 2,-3.687762556407876,Down-Regulated,0.00044314163019630376,Significant diff between gene and control,No Warning
50,Burst Percentage - Avg,LGI2 A12,-2.5213013623088174,Down-Regulated,0.013971936815161677,Significant diff between gene and control,No Warning
51,Burst Percentage - Avg,SLITRK5,-2.482467457679993,Down-Regulated,0.015448619051302416,Significant diff between gene and control,No Warning
52,Burst Percentage - Avg,THSD7 1,-2.629605626318643,Down-Regulated,0.010502124947696648,Significant diff between gene and control,No Warning
53,Burst Percentage - Avg,THSD7 2,-2.52711010119442,Down-Regulated,0.013762347462692665,Significant diff between gene and control,No Warning
54,Network Burst Frequency (Hz),GPR37L 1,-3.1192322199154545,Down-Regulated,0.0026325984080775864,Significant diff between gene and control,No Warning
55,Network Burst Frequency (Hz),GPR37L 2,-3.1717238215772436,Down-Regulated,0.002250164461746324,Significant diff between gene and control,No Warning
56,Network Burst Frequency (Hz),LGI2 A12,-4.182521905448291,Down-Regulated,8.225342414973653e-05,Significant diff between gene and control,No Warning
57,Network Burst Frequency (Hz),SLITRK5,-2.5556988789750505,Down-Regulated,0.0127715763927649,Significant diff between gene and control,No Warning
58,Network Burst Frequency (Hz),THSD7 1,-3.6943905334681735,Down-Regulated,0.00043359168097180704,Significant diff between gene and control,No Warning
59,Network Burst Frequency (Hz),THSD7 2,-4.529287333839631,Down-Regulated,2.370555484693838e-05,Significant diff between gene and control,No Warning
60,Network Burst Duration - Avg (sec),GPR37L 1,-0.5517006095872127,Down-Regulated,0.5829105007952715,Not Significant,No Warning
61,Network Burst Duration - Avg (sec),GPR37L 2,0.5122722142151651,Up-Regulated,0.6100730859798351,Not Significant,No Warning
62,Network Burst Duration - Avg (sec),LGI2 A12,0.19031001146893067,Up-Regulated,0.8496170422313,Not Significant,No Warning
63,Network Burst Duration - Avg (sec),SLITRK5,-2.08326803446113,Down-Regulated,0.04088049245306154,Significant diff between gene and control,No Warning
64,Network Burst Duration - Avg (sec),THSD7 1,-0.6047355390019511,Down-Regulated,0.5473100507267223,Not Significant,No Warning
65,Network Burst Duration - Avg (sec),THSD7 2,0.024440915154337342,Up-Regulated,0.9805704531466592,Not Significant,No Warning
66,Network Burst Percentage,GPR37L 1,-4.390083612659998,Down-Regulated,3.928886026832398e-05,Significant diff between gene and control,No Warning
67,Network Burst Percentage,GPR37L 2,-4.405066328698034,Down-Regulated,3.722297151029834e-05,Significant diff between gene and control,No Warning
68,Network Burst Percentage,LGI2 A12,-1.6804173640572562,Down-Regulated,0.09733379983856254,Not Significant,No Warning
69,Network Burst Percentage,SLITRK5,-5.740684181794294,Down-Regulated,2.2330644543627864e-07,Significant diff between gene and control,No Warning
70,Network Burst Percentage,THSD7 1,-3.968673695378576,Down-Regulated,0.00017272107718869966,Significant diff between gene and control,No Warning
71,Network Burst Percentage,THSD7 2,-4.754113992841786,Down-Regulated,1.0323329374615286e-05,Significant diff between gene and control,No Warning
72,Network IBI Coefficient of Variation,GPR37L 1,2.2581311145345007,Up-Regulated,0.027057143791650584,Significant diff between gene and control,No Warning
73,Network IBI Coefficient of Variation,GPR37L 2,-0.1671867649988399,Down-Regulated,0.8677051363951003,Not Significant,No Warning
74,Network IBI Coefficient of Variation,LGI2 A12,3.2450898453318797,Up-Regulated,0.0018020816481734464,Significant diff between gene and control,No Warning
75,Network IBI Coefficient of Variation,SLITRK5,-1.2896739127660233,Down-Regulated,0.2014087119871216,Not Significant,No Warning
76,Network IBI Coefficient of Variation,THSD7 1,3.864290652725045,Up-Regulated,0.0002462194137835092,Significant diff between gene and control,No Warning
77,Network IBI Coefficient of Variation,THSD7 2,3.726476564817176,Up-Regulated,0.00039006950475589934,Significant diff between gene and control,No Warning
78,Network Normalized Duration IQR,GPR37L 1,3.0936562524004425,Up-Regulated,0.002840180525417605,Significant diff between gene and control,No Warning
79,Network Normalized Duration IQR,GPR37L 2,2.309611072970108,Up-Regulated,0.023864397130290305,Significant diff between gene and control,No Warning
80,Network Normalized Duration IQR,LGI2 A12,1.7316205220532983,Up-Regulated,0.0877462686251847,Not Significant,No Warning
81,Network Normalized Duration IQR,SLITRK5,3.285984632951863,Up-Regulated,0.001590154057915464,Significant diff between gene and control,No Warning
82,Network Normalized Duration IQR,THSD7 1,2.8864732996508695,Up-Regulated,0.005177065365928718,Significant diff between gene and control,No Warning
83,Network Normalized Duration IQR,THSD7 2,2.6905731873413723,Up-Regulated,0.008912934754363475,Significant diff between gene and control,No Warning
84,Area Under Normalized Cross-Correlation,GPR37L 1,-3.7845771471845633,Down-Regulated,0.00032165603019256326,Significant diff between gene and control,No Warning
85,Area Under Normalized Cross-Correlation,GPR37L 2,-2.8459511728936637,Down-Regulated,0.005804272144800727,Significant diff between gene and control,No Warning
86,Area Under Normalized Cross-Correlation,LGI2 A12,-3.135151076120212,Down-Regulated,0.0025106417304250543,Significant diff between gene and control,No Warning
87,Area Under Normalized Cross-Correlation,SLITRK5,-0.35467023508305084,Down-Regulated,0.7239029503113601,Not Significant,No Warning
88,Area Under Normalized Cross-Correlation,THSD7 1,-3.889545427642962,Down-Regulated,0.00022608560869830219,Significant diff between gene and control,No Warning
89,Area Under Normalized Cross-Correlation,THSD7 2,-3.053286141796958,Down-Regulated,0.0031991279312252236,Significant diff between gene and control,No Warning
90,Resistance - Avg (kOhms),GPR37L 1,-0.10831043559161352,Down-Regulated,0.9140593108986079,Not Significant,No Warning
91,Resistance - Avg (kOhms),GPR37L 2,-0.8319758912629918,Down-Regulated,0.408251849869127,Not Significant,No Warning
92,Resistance - Avg (kOhms),LGI2 A12,-0.8986782965522409,Down-Regulated,0.3719049564980873,Not Significant,No Warning
93,Resistance - Avg (kOhms),SLITRK5,-2.0731402629030597,Down-Regulated,0.04184179080694615,Significant diff between gene and control,No Warning
94,Resistance - Avg (kOhms),THSD7 1,-1.16601259155313,Down-Regulated,0.2475668487999897,Not Significant,No Warning
95,Resistance - Avg (kOhms),THSD7 2,-2.208482988762854,Down-Regulated,0.03048716731705928,Significant diff between gene and control,No Warning
96,Number of Covered Electrodes,GPR37L 1,0.0,Same/NA,1.0,Not Significant,No Warning
97,Number of Covered Electrodes,GPR37L 2,-0.8644215374247605,Down-Regulated,0.39030893916927456,Not Significant,No Warning
98,Number of Covered Electrodes,LGI2 A12,1.4883513944689724,Up-Regulated,0.14114966898389025,Not Significant,No Warning
99,Number of Covered Electrodes,SLITRK5,0.5423261445466385,Up-Regulated,0.5893162671899163,Not Significant,No Warning
100,Number of Covered Electrodes,THSD7 1,0.5054448066354453,Up-Regulated,0.6148343119109334,Not Significant,No Warning
101,Number of Covered Electrodes,THSD7 2,-1.0782911779323718,Down-Regulated,0.28460561068541584,Not Significant,No Warning
